filename,ecut,nkpts,alat,energy,total_force,cpu_time,lattice_parameter
Si_50_10_10.26.out,50.0,47.0,10.26,-93.45392155,0.0,15.6,10.26
Si_50_11_10.26.out,50.0,56.0,10.26,-93.45395113,0.0,18.2,10.26
Si_50_12_10.26.out,50.0,72.0,10.26,-93.45396422,0.0,22.6,10.26
Si_50_13_10.26.out,50.0,84.0,10.26,-93.45397018,0.0,25.9,10.26
Si_50_14_10.26.out,50.0,104.0,10.26,-93.45397295,0.0,31.7,10.26
Si_50_5_10.26.out,50.0,10.0,10.26,-93.44922895,0.0,5.1,10.26
Si_50_6_10.26.out,50.0,16.0,10.26,-93.45221094,0.0,6.9,10.26
Si_50_7_10.26.out,50.0,20.0,10.26,-93.4532795,0.0,8.0,10.26
Si_50_8_10.26.out,50.0,29.0,10.26,-93.45368845,0.0,10.6,10.26
Si_50_9_10.26.out,50.0,35.0,10.26,-93.45385279,0.0,12.3,10.26
