filename,ecut,nkpts,alat,energy,total_force
Si_100_10_10.26.out,100.0,47.0,10.26,-93.45394349,0.0
Si_100_5_10.26.out,100.0,10.0,10.26,-93.4492505,0.0
Si_100_6_10.26.out,100.0,16.0,10.26,-93.45223308,0.0
Si_100_7_10.26.out,100.0,20.0,10.26,-93.45330156,0.0
Si_100_8_10.26.out,100.0,29.0,10.26,-93.45371038,0.0
Si_100_9_10.26.out,100.0,35.0,10.26,-93.45387476,0.0
Si_10_10_10.26.out,10.0,47.0,10.26,-93.44769237,0.0
Si_10_5_10.26.out,10.0,10.0,10.26,-93.44309151,0.0
Si_10_6_10.26.out,10.0,16.0,10.26,-93.44571613,0.0
Si_10_7_10.26.out,10.0,20.0,10.26,-93.44701865,0.0
Si_10_8_10.26.out,10.0,29.0,10.26,-93.44744062,0.0
Si_10_9_10.26.out,10.0,35.0,10.26,-93.44755748,0.0
Si_20_10_10.26.out,20.0,47.0,10.26,-93.45252449,0.0
Si_20_5_10.26.out,20.0,10.0,10.26,-93.44784985,0.0
Si_20_6_10.26.out,20.0,16.0,10.26,-93.45078549,0.0
Si_20_7_10.26.out,20.0,20.0,10.26,-93.45188182,0.0
Si_20_8_10.26.out,20.0,29.0,10.26,-93.45229053,0.0
Si_20_9_10.26.out,20.0,35.0,10.26,-93.45244395,0.0
Si_30_10_10.26.out,30.0,47.0,10.26,-93.45375834,0.0
Si_30_5_10.26.out,30.0,10.0,10.26,-93.44906422,0.0
Si_30_6_10.26.out,30.0,16.0,10.26,-93.45204589,0.0
Si_30_7_10.26.out,30.0,20.0,10.26,-93.45311555,0.0
Si_30_8_10.26.out,30.0,29.0,10.26,-93.4535248,0.0
Si_30_9_10.26.out,30.0,35.0,10.26,-93.45368893,0.0
Si_40_10_10.26.out,40.0,47.0,10.26,-93.45393123,0.0
Si_40_5_10.26.out,40.0,10.0,10.26,-93.44923826,0.0
Si_40_6_10.26.out,40.0,16.0,10.26,-93.4522208,0.0
Si_40_7_10.26.out,40.0,20.0,10.26,-93.45328931,0.0
Si_40_8_10.26.out,40.0,29.0,10.26,-93.45369814,0.0
Si_40_9_10.26.out,40.0,35.0,10.26,-93.4538625,0.0
Si_50_10_10.26.out,50.0,47.0,10.26,-93.45392155,0.0
Si_50_5_10.26.out,50.0,10.0,10.26,-93.44922895,0.0
Si_50_6_10.26.out,50.0,16.0,10.26,-93.45221094,0.0
Si_50_7_10.26.out,50.0,20.0,10.26,-93.4532795,0.0
Si_50_8_10.26.out,50.0,29.0,10.26,-93.45368845,0.0
Si_50_9_10.26.out,50.0,35.0,10.26,-93.45385279,0.0
Si_60_10_10.26.out,60.0,47.0,10.26,-93.45393122,0.0
Si_60_5_10.26.out,60.0,10.0,10.26,-93.44923862,0.0
Si_60_6_10.26.out,60.0,16.0,10.26,-93.45222074,0.0
Si_60_7_10.26.out,60.0,20.0,10.26,-93.45328926,0.0
Si_60_8_10.26.out,60.0,29.0,10.26,-93.4536981,0.0
Si_60_9_10.26.out,60.0,35.0,10.26,-93.45386249,0.0
Si_70_10_10.26.out,70.0,47.0,10.26,-93.45393322,0.0
Si_70_5_10.26.out,70.0,10.0,10.26,-93.44924067,0.0
Si_70_6_10.26.out,70.0,16.0,10.26,-93.45222275,0.0
Si_70_7_10.26.out,70.0,20.0,10.26,-93.45329127,0.0
Si_70_8_10.26.out,70.0,29.0,10.26,-93.4537001,0.0
Si_70_9_10.26.out,70.0,35.0,10.26,-93.45386448,0.0
Si_80_10_10.26.out,80.0,47.0,10.26,-93.45393791,0.0
Si_80_5_10.26.out,80.0,10.0,10.26,-93.44924494,0.0
Si_80_6_10.26.out,80.0,16.0,10.26,-93.45222749,0.0
Si_80_7_10.26.out,80.0,20.0,10.26,-93.45329601,0.0
Si_80_8_10.26.out,80.0,29.0,10.26,-93.45370481,0.0
Si_80_9_10.26.out,80.0,35.0,10.26,-93.45386919,0.0
Si_90_10_10.26.out,90.0,47.0,10.26,-93.45394097,0.0
Si_90_5_10.26.out,90.0,10.0,10.26,-93.44924852,0.0
Si_90_6_10.26.out,90.0,16.0,10.26,-93.45223058,0.0
Si_90_7_10.26.out,90.0,20.0,10.26,-93.45329906,0.0
Si_90_8_10.26.out,90.0,29.0,10.26,-93.45370787,0.0
Si_90_9_10.26.out,90.0,35.0,10.26,-93.45387226,0.0
