filename,ecut,nkpts,alat_1,alat_3,energy,unit_cell volume,cpu_time
Fe_HCP_3.2_172_9_5.out,50.0,72.0,3.2,1.72,-654.87571134,48.81,34.14
Fe_HCP_3.2_173_9_5.out,50.0,72.0,3.2,1.73,-654.9265051,49.0938,34.55
Fe_HCP_3.2_174_9_5.out,50.0,72.0,3.2,1.74,-654.97611955,49.3776,28.22
Fe_HCP_3.4_172_9_5.out,50.0,72.0,3.4,1.72,-656.36594751,58.5458,31.73
Fe_HCP_3.4_173_9_5.out,50.0,72.0,3.4,1.73,-656.39918731,58.8862,31.02
Fe_HCP_3.4_174_9_5.out,50.0,72.0,3.4,1.74,-656.43149093,59.2266,30.75
Fe_HCP_3.6_172_9_5.out,50.0,72.0,3.6,1.72,-657.30597645,69.4971,34.33
Fe_HCP_3.6_173_9_5.out,50.0,72.0,3.6,1.73,-657.32746293,69.9011,39.0
Fe_HCP_3.6_174_9_5.out,50.0,72.0,3.6,1.74,-657.34785304,70.3052,39.24
Fe_HCP_3.8_172_9_5.out,50.0,72.0,3.8,1.72,-657.88311986,81.7353,39.22
Fe_HCP_3.8_173_9_5.out,50.0,72.0,3.8,1.73,-657.89607959,82.2105,35.71
Fe_HCP_3.8_174_9_5.out,50.0,72.0,3.8,1.74,-657.90806678,82.6857,39.29
Fe_HCP_4.1_172_9_5.out,50.0,72.0,4.1,1.72,-658.33008614,102.6622,50.69
Fe_HCP_4.1_173_9_5.out,50.0,72.0,4.1,1.73,-658.3348661,103.2591,50.95
Fe_HCP_4.1_174_9_5.out,50.0,72.0,4.1,1.74,-658.33914567,103.856,58.76
Fe_HCP_4.2_172_9_5.out,50.0,72.0,4.2,1.72,-658.40594143,110.3588,52.37
Fe_HCP_4.2_173_9_5.out,50.0,72.0,4.2,1.73,-658.40863587,111.0004,51.68
Fe_HCP_4.2_174_9_5.out,50.0,72.0,4.2,1.74,-658.41117071,111.642,44.82
Fe_HCP_4.3_172_9_5.out,50.0,72.0,4.3,1.72,-658.45594552,118.4307,49.17
Fe_HCP_4.3_173_9_5.out,50.0,72.0,4.3,1.73,-658.45719891,119.1193,60.14
Fe_HCP_4.3_174_9_5.out,50.0,72.0,4.3,1.74,-658.45827979,119.8078,63.27
Fe_HCP_4.4_172_9_5.out,50.0,72.0,4.4,1.72,-658.48493766,126.887,64.25
Fe_HCP_4.4_173_9_5.out,50.0,72.0,4.4,1.73,-658.48483962,127.6247,68.17
Fe_HCP_4.4_174_9_5.out,50.0,72.0,4.4,1.74,-658.48447298,128.3624,80.35
Fe_HCP_4.5_172_9_5.out,50.0,72.0,4.5,1.72,-658.49691822,135.7365,138.13
Fe_HCP_4.5_173_9_5.out,50.0,72.0,4.5,1.73,-658.49566681,136.5257,182.43
Fe_HCP_4.5_174_9_5.out,50.0,72.0,4.5,1.74,-658.49449719,137.3148,136.54
Fe_HCP_4.6_172_9_5.out,50.0,72.0,4.6,1.72,-658.46870205,144.9882,572.07
Fe_HCP_4.6_173_9_5.out,50.0,100.0,4.6,1.73,-658.48988079,145.8311,98.38
Fe_HCP_4.6_174_9_5.out,50.0,100.0,4.6,1.74,-658.49028556,146.6741,92.95
Fe_HCP_4.7_172_9_5.out,50.0,100.0,4.7,1.72,-658.49147833,154.651,115.62
Fe_HCP_4.7_173_9_5.out,50.0,100.0,4.7,1.73,-658.49176654,155.5501,91.79
Fe_HCP_4.7_174_9_5.out,50.0,100.0,4.7,1.74,-658.49241889,156.4492,85.69
Fe_HCP_4.8_172_9_5.out,50.0,100.0,4.8,1.72,-658.49382995,164.7338,84.54
Fe_HCP_4.8_173_9_5.out,50.0,100.0,4.8,1.73,-658.49413457,165.6916,87.53
Fe_HCP_4.8_174_9_5.out,50.0,100.0,4.8,1.74,-658.49422737,166.6493,89.15
Fe_HCP_4.9_172_9_5.out,50.0,100.0,4.9,1.72,-658.49131282,175.2457,79.53
Fe_HCP_4.9_173_9_5.out,50.0,100.0,4.9,1.73,-658.49080958,176.2645,86.97
Fe_HCP_4.9_174_9_5.out,50.0,100.0,4.9,1.74,-658.49016009,177.2834,69.2
Fe_HCP_4_172_9_5.out,50.0,72.0,4.0,1.72,-658.22251024,95.3321,50.13
Fe_HCP_4_173_9_5.out,50.0,72.0,4.0,1.73,-658.22946938,95.8863,47.55
Fe_HCP_4_174_9_5.out,50.0,72.0,4.0,1.74,-658.23602379,96.4406,39.67
Fe_HCP_5.1_172_9_5.out,50.0,100.0,5.1,1.72,-658.47063269,197.5921,112.88
Fe_HCP_5.1_173_9_5.out,50.0,100.0,5.1,1.73,-658.46942215,198.7409,101.8
Fe_HCP_5.1_174_9_5.out,50.0,100.0,5.1,1.74,-658.46801167,199.8897,97.22
Fe_HCP_5.2_172_9_5.out,50.0,72.0,5.2,1.72,-658.45516187,209.4446,78.22
Fe_HCP_5.2_173_9_5.out,50.0,72.0,5.2,1.73,-658.45392604,210.6623,103.87
Fe_HCP_5.2_174_9_5.out,50.0,72.0,5.2,1.74,-658.45243208,211.88,89.63
Fe_HCP_5.3_172_9_5.out,50.0,72.0,5.3,1.72,-658.43810387,221.7618,69.14
Fe_HCP_5.3_173_9_5.out,50.0,72.0,5.3,1.73,-658.43688901,223.0511,79.96
Fe_HCP_5.3_174_9_5.out,50.0,72.0,5.3,1.74,-658.43457987,224.3404,73.48
Fe_HCP_5.4_172_9_5.out,50.0,72.0,5.4,1.72,-658.41777358,234.5527,72.64
Fe_HCP_5.4_173_9_5.out,50.0,72.0,5.4,1.73,-658.41617129,235.9163,116.0
Fe_HCP_5.4_174_9_5.out,50.0,72.0,5.4,1.74,-658.41323168,237.28,96.88
Fe_HCP_5.6_172_9_5.out,50.0,72.0,5.6,1.72,-658.37550879,261.5912,88.19
Fe_HCP_5.6_173_9_5.out,50.0,72.0,5.6,1.73,-658.37352345,263.1121,97.67
Fe_HCP_5.6_174_9_5.out,50.0,72.0,5.6,1.74,-658.37157865,264.633,78.78
Fe_HCP_5.8_172_9_5.out,50.0,72.0,5.8,1.72,-658.32964673,290.6318,126.41
Fe_HCP_5.8_173_9_5.out,50.0,72.0,5.8,1.73,-658.32813209,292.3215,106.36
Fe_HCP_5.8_174_9_5.out,50.0,72.0,5.8,1.74,-658.32651785,294.0112,173.75
Fe_HCP_5_172_9_5.out,50.0,100.0,5.0,1.72,-658.48271562,186.1955,87.63
Fe_HCP_5_173_9_5.out,50.0,100.0,5.0,1.73,-658.48177259,187.278,91.14
Fe_HCP_5_174_9_5.out,50.0,100.0,5.0,1.74,-658.48087739,188.3605,87.75
Fe_HCP_6.2_172_9_5.out,50.0,72.0,6.2,1.72,-658.25413646,355.0047,143.77
Fe_HCP_6.2_173_9_5.out,50.0,72.0,6.2,1.73,-658.25113705,357.0687,109.01
Fe_HCP_6.2_174_9_5.out,50.0,72.0,6.2,1.74,-658.24805996,359.1327,108.39
Fe_HCP_6.4_172_9_5.out,50.0,72.0,6.4,1.72,-658.21580208,390.4802,100.89
Fe_HCP_6.4_173_9_5.out,50.0,72.0,6.4,1.73,-658.21487895,392.7504,100.06
Fe_HCP_6.4_174_9_5.out,50.0,72.0,6.4,1.74,-658.21361325,395.0207,92.21
Fe_HCP_6_172_9_5.out,50.0,72.0,6.0,1.72,-658.28964836,321.7458,111.68
Fe_HCP_6_173_9_5.out,50.0,72.0,6.0,1.73,-658.28772998,323.6164,105.38
Fe_HCP_6_174_9_5.out,50.0,72.0,6.0,1.74,-658.28707639,325.487,93.66
